"id","nazev","vaha_min","vaha_max"
"1","andulka","0","0"
"2","bazant","0","0"
"3","belasek","0","0"
"4","belice","0","0"
"5","beruska","0","0"
"6","candat","0","0"
"7","cap","0","0"
"8","cerv","0","0"
"9","cervenka","0","0"
"10","cervik","0","0"
"11","cmelak","0","0"
"12","danek","0","0"
"13","datel","0","0"
"14","divoke","0","0"
"15","holub","0","0"
"16","housenka","0","0"
"17","hrouzek","0","0"
"18","husa","0","0"
"19","chroust","0","0"
"20","jesterka","0","0"
"21","jezek","0","0"
"22","kacena","0","0"
"23","kane","0","0"
"24","kapr","0","0"
"25","karasek","0","0"
"26","kobylka","0","0"
"27","kocka","0","0"
"28","komar","0","0"
"29","kos","0","0"
"30","koza","0","0"
"31","krab","0","0"
"32","kralik","0","0"
"33","krava","0","0"
"34","krtek","0","0"
"35","kruta","0","0"
"36","krecek","0","0"
"37","krepelka","0","0"
"38","kun","0","0"
"39","kuna","0","0"
"40","labut","0","0"
"41","lasicka","0","0"
"42","lin","0","0"
"43","liska","0","0"
"44","mandelinka","0","0"
"45","mlok","0","0"
"46","mol","0","0"
"47","morce","0","0"
"48","morsky","0","0"
"49","mravenec","0","0"
"50","msice","0","0"
"51","mucha","0","0"
"52","mura","0","0"
"53","musle","0","0"
"54","mys","0","0"
"55","netopyr","0","0"
"56","okoun","0","0"
"57","ondatra","0","0"
"58","osel","0","0"
"59","ovce","0","0"
"60","pavouk","0","0"
"61","pes","0","0"
"62","plostice","0","0"
"63","ponik","0","0"
"64","postolka","0","0"
"65","potkan","0","0"
"66","prase","0","0"
"67","pstruh","0","0"
"68","pstros","0","0"
"69","racek","0","0"
"70","rak","0","0"
"71","skrivan","0","0"
"72","slepice","0","0"
"73","slepys","0","0"
"74","slimak","0","0"
"75","sojka","0","0"
"76","srna","0","0"
"77","srsen","0","0"
"78","straka","0","0"
"79","strakapoud","0","0"
"80","sykorka","0","0"
"81","skvor","0","0"
"82","snek","0","0"
"83","spacek","0","0"
"84","stika","0","0"
"85","vazka","0","0"
"86","vcela","0","0"
"87","veverka","0","0"
"88","vlastovka","0","0"
"89","vosa","0","0"
"90","vrabec","0","0"
"91","vrana","0","0"
"92","zajic","0","0"
"93","zaba","0","0"
"94","zelva","0","0"
"95","zlutasek","0","0"
"96","jepice","0","0"
"97","kliste","0","0"
"98","kruta","0","0"
"99","krysa","0","0"
"100","stonozka","0","0"
"101","blecha","0","0"
"102","jiricka","0","0"
"103","cejn","0","0"
"104","vodomerka","0","0"
"105","amur","0","0"
