"id","druh","jmeno","vaha","narozen","spotreba"
"477","74","Ronja","134","2009-06-14",NULL
"478","5","Kalimana","114","1957-12-27",NULL
"479","76","Andy","44","1946-03-04",NULL
"480","63","Muradin","60","1945-08-24",NULL
"481","8","Mozart","52","2004-06-24",NULL
"482","42","Filipek","77","1948-05-30",NULL
"483","43","Luciferinka","14","1943-04-25",NULL
"484","4","Anriketa","51","1955-12-26",NULL
"485","23","Piskyt","77","1990-10-28",NULL
"486","28","Dookie","145","2001-01-23",NULL
"487","26","Zmoula","10","1943-08-22",NULL
"488","48","Sofinka","8","2003-08-16",NULL
"489","41","Lulu","47","1950-02-23",NULL
"490","86","Rudecek","119","1976-06-19",NULL
"491","92","Cikoreta","94","1946-10-14",NULL
"492","100","Tuli","26","1967-03-19",NULL
"493","71","Carline","131","1984-07-11",NULL
"494","87","Vitamin","119","1957-10-19",NULL
"495","89","Ashley","90","1924-03-03",NULL
"496","68","E.T.","69","1962-02-23",NULL
"497","80","Ambra","113","1949-01-10",NULL
"498","56","Medvidek","29","1947-06-14",NULL
"499","85","Jaffik","20","2004-12-07",NULL
"500","31","Pyzduch","3","1945-04-08",NULL
"501","93","Yvonne","63","2000-02-26",NULL
"502","21","Pan Muf","130","1979-12-08",NULL
"503","48","Angeela","114","1935-12-15",NULL
"504","22","Bambi","37","1954-08-28",NULL
"505","104","Zrzecka","150","1976-02-22",NULL
"506","19","Lizinka","61","1979-07-26",NULL
"507","55","Zofinka","46","1984-03-24",NULL
"508","33","Sebastian","109","1919-03-31",NULL
"509","14","Cora","109","2006-01-30",NULL
"510","61","Fionka","112","1939-10-19",NULL
"511","52","Amelie","118","1965-04-06",NULL
"512","2","Otinka","46","1969-09-22",NULL
"513","31","Aivy","42","1967-09-04",NULL
"514","71","Klementyna","77","1965-12-09",NULL
"515","85","Corri","38","1989-05-30",NULL
"516","101","Benzis","126","1912-02-15",NULL
"517","58","Bakara","41","2006-12-11",NULL
"518","1","Bill","128","1987-05-20",NULL
"519","66","Lady","51","1952-10-21",NULL
"520","67","Mourinka","140","1938-07-21",NULL
"521","21","Veset","34","1975-02-12",NULL
"522","76","Taurinka","137","1922-10-22",NULL
"523","16","Ludek","20","1951-04-19",NULL
"524","101","Belicek","2","1924-11-14",NULL
"525","29","Laura","102","1959-02-25",NULL
"526","55","Divinka","127","2009-12-18",NULL
"527","18","Bonnie","6","2009-03-27",NULL
"528","101","Sanny","73","1983-03-18",NULL
"529","74","Buchticka","28","1972-12-25",NULL
"530","9","Jonash","24","1956-02-20",NULL
"531","30","Cudin","99","1950-06-30",NULL
"532","70","Danda","90","1920-10-16",NULL
"533","28","Viviana","65","1967-03-06",NULL
"534","28","Rosa-Maya","7","1984-04-18",NULL
"535","8","Jura","116","1934-11-09",NULL
"536","26","Anastacia","4","1983-12-30",NULL
"537","21","Wolverine","44","1952-04-15",NULL
"538","47","Efram","59","1950-03-24",NULL
"539","4","Peta","136","1931-01-02",NULL
"540","52","Osiris","114","1919-02-06",NULL
"541","19","Quanda","135","1939-03-01",NULL
"542","99","Karkulka","79","2001-04-02",NULL
"543","30","Alesa","27","1929-10-29",NULL
"544","21","Lumpik","46","2007-11-29",NULL
"545","62","Ina","138","1939-02-07",NULL
"546","31","Amee","37","1982-04-21",NULL
"547","15","Formula","116","1957-02-02",NULL
"548","55","Moura","109","1979-04-27",NULL
"549","65","Oxana","149","1988-02-20",NULL
"550","54","Malina","14","1939-07-13",NULL
"551","27","Sahulka","101","1921-12-04",NULL
"552","102","Kejra","131","1953-09-17",NULL
"553","82","Malinka","88","1991-08-10",NULL
"554","87","Arotka","59","1933-10-09",NULL
"555","17","Zorko","74","2008-09-01",NULL
"556","22","Nita","10","1957-01-25",NULL
"557","5","Shela","89","1948-01-07",NULL
"558","71","Margareta","1","1953-07-11",NULL
"559","70","Vilemina","112","1964-06-03",NULL
"560","63","Moli","44","1950-05-11",NULL
"561","92","Hopkins","124","1947-04-12",NULL
"562","22","Ollie","136","1922-01-20",NULL
"563","41","Hatsepsove","50","1983-02-17",NULL
"564","41","Mikinka","72","1960-05-10",NULL
"565","7","Juklinek","129","1993-02-28",NULL
"566","89","Pipinka","61","1947-08-16",NULL
"567","14","Lilek","15","1921-04-24",NULL
"568","41","Pitt","58","1926-05-12",NULL
"569","22","Dikinka","92","1930-08-14",NULL
"570","53","Janek","101","1988-10-10",NULL
"571","104","Tornado","131","1914-12-21",NULL
"572","37","Hugo","146","1997-01-29",NULL
"573","86","Izzi","129","2003-06-07",NULL
"574","26","Nia","129","1966-11-01",NULL
"575","100","Charllota","58","2008-06-15",NULL
"576","80","Flekous","43","1956-09-27",NULL
