"id","name","weight_min","weight_max"
"1","budgerigar","0","0"
"2","pheasant","0","0"
"3","butterfly","0","0"
"4","bleak","0","0"
"5","ladybug","0","0"
"6","zander","0","0"
"7","stork","0","0"
"8","worm","0","0"
"9","robin","0","0"
"10","maggot","0","0"
"11","bumblebee","0","0"
"12","deer","0","0"
"13","woodpecker","0","0"
"14","boar","0","0"
"15","pigeon","0","0"
"16","caterpillar","0","0"
"17","gudgeon","0","0"
"18","goose","0","0"
"19","cockchafer","0","0"
"20","lizard","0","0"
"21","hedgehog","0","0"
"22","duck","0","0"
"23","buzzard","0","0"
"24","carp","0","0"
"25","crucian","0","0"
"26","grasshopper","0","0"
"27","cat","0","0"
"28","mosquito","0","0"
"29","blackbird","0","0"
"30","goat","0","0"
"31","crab","0","0"
"32","rabbit","0","0"
"33","cow","0","0"
"34","mole","0","0"
"35","turkey","0","0"
"36","hamster","0","0"
"37","quail","0","0"
"38","horse","0","0"
"39","marten","0","0"
"40","swan","0","0"
"41","weasel","0","0"
"42","tench","0","0"
"43","fox","0","0"
"44","beetle","0","0"
"45","salamander","0","0"
"46","moth","0","0"
"47","cavy","0","0"
"48","seahorse","0","0"
"49","ant","0","0"
"50","aphid","0","0"
"51","fly","0","0"
"52","noctuid","0","0"
"53","mussel","0","0"
"54","mouse","0","0"
"55","bat","0","0"
"56","perch","0","0"
"57","muskrat","0","0"
"58","donkey","0","0"
"59","sheep","0","0"
"60","spider","0","0"
"61","dog","0","0"
"62","bedbug","0","0"
"63","pony","0","0"
"64","kestrel","0","0"
"65","rat","0","0"
"66","pig","0","0"
"67","trout","0","0"
"68","ostrich","0","0"
"69","seagull","0","0"
"70","crayfish","0","0"
"71","skylark","0","0"
"72","chicken","0","0"
"73","slowworm","0","0"
"74","slug","0","0"
"75","jay","0","0"
"76","roe","0","0"
"77","hornet","0","0"
"78","magpie","0","0"
"79","flicker","0","0"
"80","titmouse","0","0"
"81","earwig","0","0"
"82","snail","0","0"
"83","starling","0","0"
"84","pike","0","0"
"85","dragonfly","0","0"
"86","bee","0","0"
"87","squirrel","0","0"
"88","swallow","0","0"
"89","wasp","0","0"
"90","sparrow","0","0"
"91","crow","0","0"
"92","hare","0","0"
"93","frog","0","0"
"94","turtle","0","0"
"95","cabbage","0","0"
"96","mayfly","0","0"
"97","tick","0","0"
"98","peacock","0","0"
"99","vole","0","0"
"100","centipede","0","0"
"101","flea","0","0"
"102","martin","0","0"
"103","bream","0","0"
"104","skater","0","0"
"105","amur","0","0"
